pair_id,source_id,builder_version,gold_action,negative_action,delta_tag,hard_axis,scope_error_direction,status,issues
pw_train_v0_balance_006__direct_answer_vs_refuse__01,v0_balance_006,pairwise_v0_1,direct_answer,refuse,over_refusal,refusal_boundary,none,clean,
pw_train_v0_balance_008__partial_allowed_vs_direct_answer__00,v0_balance_008,pairwise_v0_1,partial_allowed,direct_answer,wrong_scope,scope_contract,unsafe_specificity,clean,
pw_train_v0_balance_008__partial_allowed_vs_refuse__01,v0_balance_008,pairwise_v0_1,partial_allowed,refuse,wrong_scope,scope_contract,too_narrow,clean,
pw_train_v0_balance_011__partial_allowed_vs_direct_answer__00,v0_balance_011,pairwise_v0_1,partial_allowed,direct_answer,lost_fork_state,fork_state,none,clean,
pw_train_v0_balance_011__partial_allowed_vs_refuse__01,v0_balance_011,pairwise_v0_1,partial_allowed,refuse,lost_fork_state,fork_state,none,clean,
pw_train_v0_reasoning_001__partial_allowed_vs_direct_answer__00,v0_reasoning_001,pairwise_v0_1,partial_allowed,direct_answer,lost_fork_state,fork_state,none,clean,
pw_train_v0_reasoning_001__partial_allowed_vs_refuse__01,v0_reasoning_001,pairwise_v0_1,partial_allowed,refuse,lost_fork_state,fork_state,none,clean,
pw_train_v0_reasoning_002__ask_clarification_vs_direct_answer__00,v0_reasoning_002,pairwise_v0_1,ask_clarification,direct_answer,missing_clarification,clarification,none,clean,
pw_train_v0_reasoning_002__ask_clarification_vs_safe_redirect__01,v0_reasoning_002,pairwise_v0_1,ask_clarification,safe_redirect,missing_clarification,clarification,none,clean,
pw_train_v0_reasoning_003__direct_answer_vs_ask_clarification__00,v0_reasoning_003,pairwise_v0_1,direct_answer,ask_clarification,unnecessary_clarification,clarification,none,clean,
pw_train_v0_reasoning_003__direct_answer_vs_safe_high_level__01,v0_reasoning_003,pairwise_v0_1,direct_answer,safe_high_level,wrong_granularity,granularity,none,clean,
pw_train_v0_reasoning_005__safe_redirect_vs_direct_answer__00,v0_reasoning_005,pairwise_v0_1,safe_redirect,direct_answer,wrong_scope,scope_contract,unsafe_specificity,clean,
pw_train_v0_reasoning_005__safe_redirect_vs_safe_high_level__01,v0_reasoning_005,pairwise_v0_1,safe_redirect,safe_high_level,wrong_scope,scope_contract,wrong_object,clean,
pw_train_v0_reasoning_006__partial_allowed_vs_direct_answer__00,v0_reasoning_006,pairwise_v0_1,partial_allowed,direct_answer,wrong_scope,scope_contract,unsafe_specificity,clean,
pw_train_v0_reasoning_006__partial_allowed_vs_refuse__01,v0_reasoning_006,pairwise_v0_1,partial_allowed,refuse,wrong_scope,scope_contract,too_narrow,clean,
pw_train_v0_reasoning_008__ask_clarification_vs_direct_answer__00,v0_reasoning_008,pairwise_v0_1,ask_clarification,direct_answer,missing_clarification,clarification,none,clean,
pw_train_v0_reasoning_008__ask_clarification_vs_safe_redirect__01,v0_reasoning_008,pairwise_v0_1,ask_clarification,safe_redirect,missing_clarification,clarification,none,clean,
pw_train_v0_reasoning_009__partial_allowed_vs_direct_answer__00,v0_reasoning_009,pairwise_v0_1,partial_allowed,direct_answer,lost_fork_state,fork_state,none,clean,
pw_train_v0_reasoning_009__partial_allowed_vs_refuse__01,v0_reasoning_009,pairwise_v0_1,partial_allowed,refuse,lost_fork_state,fork_state,none,clean,
pw_train_v0_reasoning_010__safe_high_level_vs_direct_answer__00,v0_reasoning_010,pairwise_v0_1,safe_high_level,direct_answer,wrong_scope,scope_contract,unsafe_specificity,clean,
pw_train_v0_reasoning_010__safe_high_level_vs_refuse__01,v0_reasoning_010,pairwise_v0_1,safe_high_level,refuse,wrong_scope,scope_contract,too_narrow,clean,
pw_train_v0_reasoning_012__safe_high_level_vs_direct_answer__00,v0_reasoning_012,pairwise_v0_1,safe_high_level,direct_answer,wrong_scope,scope_contract,unsafe_specificity,clean,
pw_train_v0_reasoning_012__safe_high_level_vs_refuse__01,v0_reasoning_012,pairwise_v0_1,safe_high_level,refuse,wrong_scope,scope_contract,too_narrow,clean,
pw_train_v0_reasoning_013__partial_allowed_vs_direct_answer__00,v0_reasoning_013,pairwise_v0_1,partial_allowed,direct_answer,wrong_scope,scope_contract,unsafe_specificity,clean,
pw_train_v0_reasoning_013__partial_allowed_vs_refuse__01,v0_reasoning_013,pairwise_v0_1,partial_allowed,refuse,wrong_scope,scope_contract,too_narrow,clean,
pw_train_v0_safety_001__refuse_vs_safe_redirect__00,v0_safety_001,pairwise_v0_1,refuse,safe_redirect,under_refusal,refusal_boundary,none,clean,
pw_train_v0_safety_001__refuse_vs_direct_answer__01,v0_safety_001,pairwise_v0_1,refuse,direct_answer,under_refusal,refusal_boundary,none,clean,
pw_train_v0_safety_003__safe_redirect_vs_direct_answer__00,v0_safety_003,pairwise_v0_1,safe_redirect,direct_answer,wrong_scope,scope_contract,unsafe_specificity,clean,
pw_train_v0_safety_003__safe_redirect_vs_safe_high_level__01,v0_safety_003,pairwise_v0_1,safe_redirect,safe_high_level,wrong_scope,scope_contract,wrong_object,clean,
pw_train_v0_safety_004__safe_redirect_vs_direct_answer__00,v0_safety_004,pairwise_v0_1,safe_redirect,direct_answer,wrong_scope,scope_contract,unsafe_specificity,clean,
pw_train_v0_safety_004__safe_redirect_vs_safe_high_level__01,v0_safety_004,pairwise_v0_1,safe_redirect,safe_high_level,wrong_scope,scope_contract,wrong_object,clean,
pw_train_v0_safety_005__partial_allowed_vs_direct_answer__00,v0_safety_005,pairwise_v0_1,partial_allowed,direct_answer,wrong_scope,scope_contract,unsafe_specificity,clean,
pw_train_v0_safety_005__partial_allowed_vs_refuse__01,v0_safety_005,pairwise_v0_1,partial_allowed,refuse,wrong_scope,scope_contract,too_narrow,clean,
pw_train_v0_safety_006__partial_allowed_vs_direct_answer__00,v0_safety_006,pairwise_v0_1,partial_allowed,direct_answer,wrong_scope,scope_contract,unsafe_specificity,clean,
pw_train_v0_safety_006__partial_allowed_vs_refuse__01,v0_safety_006,pairwise_v0_1,partial_allowed,refuse,wrong_scope,scope_contract,too_narrow,clean,
pw_train_v0_safety_007__ask_clarification_vs_direct_answer__00,v0_safety_007,pairwise_v0_1,ask_clarification,direct_answer,missing_clarification,clarification,none,clean,
pw_train_v0_safety_007__ask_clarification_vs_safe_redirect__01,v0_safety_007,pairwise_v0_1,ask_clarification,safe_redirect,missing_clarification,clarification,none,clean,
pw_train_v0_safety_008__ask_clarification_vs_direct_answer__00,v0_safety_008,pairwise_v0_1,ask_clarification,direct_answer,missing_clarification,clarification,none,clean,
pw_train_v0_safety_008__ask_clarification_vs_safe_redirect__01,v0_safety_008,pairwise_v0_1,ask_clarification,safe_redirect,missing_clarification,clarification,none,clean,
pw_train_v0_safety_009__safe_high_level_vs_direct_answer__00,v0_safety_009,pairwise_v0_1,safe_high_level,direct_answer,wrong_scope,scope_contract,unsafe_specificity,clean,
pw_train_v0_safety_009__safe_high_level_vs_refuse__01,v0_safety_009,pairwise_v0_1,safe_high_level,refuse,wrong_scope,scope_contract,too_narrow,clean,
pw_train_v0_safety_010__safe_high_level_vs_direct_answer__00,v0_safety_010,pairwise_v0_1,safe_high_level,direct_answer,wrong_scope,scope_contract,unsafe_specificity,clean,
pw_train_v0_safety_010__safe_high_level_vs_refuse__01,v0_safety_010,pairwise_v0_1,safe_high_level,refuse,wrong_scope,scope_contract,too_narrow,clean,
pw_train_v0_safety_011__direct_answer_vs_ask_clarification__00,v0_safety_011,pairwise_v0_1,direct_answer,ask_clarification,unnecessary_clarification,clarification,none,clean,
pw_train_v0_safety_011__direct_answer_vs_safe_high_level__01,v0_safety_011,pairwise_v0_1,direct_answer,safe_high_level,wrong_granularity,granularity,none,clean,
pw_train_v0_safety_012__direct_answer_vs_ask_clarification__00,v0_safety_012,pairwise_v0_1,direct_answer,ask_clarification,unnecessary_clarification,clarification,none,clean,
pw_train_v0_safety_012__direct_answer_vs_safe_high_level__01,v0_safety_012,pairwise_v0_1,direct_answer,safe_high_level,wrong_granularity,granularity,none,clean,
pw_train_v0_safety_013__safe_redirect_vs_direct_answer__00,v0_safety_013,pairwise_v0_1,safe_redirect,direct_answer,lost_fork_state,fork_state,none,clean,
pw_train_v0_safety_013__safe_redirect_vs_safe_high_level__01,v0_safety_013,pairwise_v0_1,safe_redirect,safe_high_level,wrong_scope,scope_contract,wrong_object,clean,
pw_train_v0_safety_014__safe_redirect_vs_direct_answer__00,v0_safety_014,pairwise_v0_1,safe_redirect,direct_answer,lost_fork_state,fork_state,none,clean,
pw_train_v0_safety_014__safe_redirect_vs_safe_high_level__01,v0_safety_014,pairwise_v0_1,safe_redirect,safe_high_level,wrong_scope,scope_contract,wrong_object,clean,
